Date,Time,Activity,White Light,Sleep/Wake
2/20/2019,3:38:30 PM,79,240.72,1
2/20/2019,3:39:00 PM,31,81.46,1
2/20/2019,3:39:30 PM,0,159.48,0
2/20/2019,3:40:00 PM,9,143.06,0
2/20/2019,3:40:30 PM,4,123.18,0
2/20/2019,3:41:00 PM,0,64.02,0
2/20/2019,3:41:30 PM,0,54.98,0
2/20/2019,3:42:00 PM,0,55.41,0
2/20/2019,3:42:30 PM,15,88.64,0
2/20/2019,3:43:00 PM,0,141.7,0
2/20/2019,3:43:30 PM,2,110.19,0
2/20/2019,3:44:00 PM,5,50.89,0
2/20/2019,3:44:30 PM,0,49.78,0
2/20/2019,3:45:00 PM,0,50.52,0
2/20/2019,3:45:30 PM,0,50.7,0
2/20/2019,3:46:00 PM,21,54.92,1
2/20/2019,3:46:30 PM,26,59.31,1
2/20/2019,3:47:00 PM,0,45.83,0
2/20/2019,3:47:30 PM,0,48.07,0
2/20/2019,3:48:00 PM,0,45.98,0
2/20/2019,3:48:30 PM,0,46.79,1
2/20/2019,3:49:00 PM,58,49.73,1
2/20/2019,3:49:30 PM,134,64.83,1
2/20/2019,3:50:00 PM,288,155.69,1
2/20/2019,3:50:30 PM,261,2.65,1
2/20/2019,3:51:00 PM,253,1.15,1
2/20/2019,3:51:30 PM,279,0.22,1
2/20/2019,3:52:00 PM,253,0,1
2/20/2019,3:52:30 PM,170,0,1
2/20/2019,3:53:00 PM,222,0,1
2/20/2019,3:53:30 PM,328,0.07,1
2/20/2019,3:54:00 PM,308,0,1
2/20/2019,3:54:30 PM,237,0,1
2/20/2019,3:55:00 PM,182,0,1
2/20/2019,3:55:30 PM,139,0,1
2/20/2019,3:56:00 PM,121,0,1
2/20/2019,3:56:30 PM,176,0,1
2/20/2019,3:57:00 PM,85,0,1
2/20/2019,3:57:30 PM,350,115.79,1
2/20/2019,3:58:00 PM,279,0.22,1
2/20/2019,3:58:30 PM,373,0,1
2/20/2019,3:59:00 PM,308,0,1
2/20/2019,3:59:30 PM,328,0,1
2/20/2019,4:00:00 PM,424,0,1
2/20/2019,4:00:30 PM,222,99.36,1
2/20/2019,4:01:00 PM,253,127.46,1
2/20/2019,4:01:30 PM,222,341.81,1
2/20/2019,4:02:00 PM,373,158.85,1
2/20/2019,4:02:30 PM,253,102.27,1
2/20/2019,4:03:00 PM,222,42.49,1
2/20/2019,4:03:30 PM,215,110.86,1
2/20/2019,4:04:00 PM,237,67.24,1
2/20/2019,4:04:30 PM,170,0,1
2/20/2019,4:05:00 PM,125,4.56,1
2/20/2019,4:05:30 PM,339,0.5,1
2/20/2019,4:06:00 PM,298,0.5,1
2/20/2019,4:06:30 PM,328,0,1
2/20/2019,4:07:00 PM,237,0,1
2/20/2019,4:07:30 PM,215,0,1
2/20/2019,4:08:00 PM,373,0,1
2/20/2019,4:08:30 PM,318,0,1
2/20/2019,4:09:00 PM,253,0,1
2/20/2019,4:09:30 PM,308,0,1
2/20/2019,4:10:00 PM,279,0,1
2/20/2019,4:10:30 PM,350,28.85,1
2/20/2019,4:11:00 PM,361,66.78,1
2/20/2019,4:11:30 PM,222,0.07,1
2/20/2019,4:12:00 PM,398,0,1
2/20/2019,4:12:30 PM,237,0,1
2/20/2019,4:13:00 PM,16,0.07,1
2/20/2019,4:13:30 PM,109,0.22,1
2/20/2019,4:14:00 PM,298,0.07,1
2/20/2019,4:14:30 PM,245,0.73,1
2/20/2019,4:15:00 PM,170,1.96,1
2/20/2019,4:15:30 PM,101,1.74,1
2/20/2019,4:16:00 PM,31,8.33,1
2/20/2019,4:16:30 PM,52,8.66,1
2/20/2019,4:17:00 PM,36,6.07,1
2/20/2019,4:17:30 PM,64,8.17,1
2/20/2019,4:18:00 PM,36,6.17,1
2/20/2019,4:18:30 PM,10,6.23,1
2/20/2019,4:19:00 PM,15,5.02,1
2/20/2019,4:19:30 PM,0,4.85,0
2/20/2019,4:20:00 PM,0,4.17,0
2/20/2019,4:20:30 PM,32,22.03,1
